show_id,company_id
1,1
1,2
1,3
1,4
2,5
3,6
3,7
4,8
4,9
4,10
4,11
4,12
4,13
5,14
5,15
5,16
5,17
6,14
6,18
6,19
6,20
7,21
7,22
8,23
8,24
8,25
9,26
9,27
9,23
10,28
11,14
11,18
11,15
12,29
12,14
13,28
14,30
14,31
14,26
14,32
15,33
15,34
15,35
16,36
16,37
16,38
16,39
17,40
17,41
17,42
17,43
17,44
17,45
17,46
17,47
17,48
18,49
18,50
19,51
19,52
19,53
19,54
20,55
21,56
21,57
21,23
21,58
21,59
21,60
21,61
22,62
22,63
22,64
22,65
22,66
23,14
23,67
23,68
23,69
23,19
24,28
25,70
25,71
25,72
26,14
26,67
26,69
26,19
27,73
27,74
27,75
28,14
28,76
29,58
29,77
29,78
29,14
30,79
31,80
31,81
31,82
32,83
33,84
33,85
33,86
33,87
34,88
34,23
34,89
35,90
35,91
35,92
36,18
36,15
36,14
37,93
37,94
37,95
37,96
37,97
37,98
37,99
37,100
37,101
38,102
38,103
38,104
39,105
39,106
39,39
39,37
39,107
40,71
40,72
41,108
41,109
41,110
41,111
41,112
42,113
43,14
43,114
43,115
43,116
44,50
44,117
45,118
45,119
45,120
46,121
46,122
47,123
47,124
47,125
47,126
48,10
48,8
48,9
48,13
48,12
49,127
49,128
49,129
49,37
50,130
50,92
50,131
50,99
50,132
50,133
50,134
51,135
51,136
51,50
52,137
52,138
53,139
53,140
54,141
54,37
55,23
55,8
55,24
55,25
56,142
56,124
56,143
56,144
58,145
58,50
58,146
59,125
59,147
59,124
59,126
60,148
60,23
60,149
60,104
60,103
60,45
61,124
61,125
61,150
61,92
61,151
62,26
62,152
62,153
62,154
63,15
63,18
63,14
64,155
64,156
65,37
65,157
65,38
65,39
66,158
66,145
67,159
67,160
67,161
67,162
68,163
68,164
70,165
70,14
70,166
70,74
71,167
71,117
71,50
72,56
72,168
72,12
73,169
73,170
73,171
73,172
73,19
74,28
74,173
74,174
74,175
74,176
75,177
75,178
75,179
75,180
75,181
76,26
76,115
77,182
78,183
78,184
78,185
78,186
80,32
80,30
80,158
80,19
80,187
80,188
81,45
81,189
81,190
81,191
82,192
82,84
82,193
82,194
83,14
83,195
84,196
84,197
84,19
85,198
86,199
86,200
87,201
87,202
87,203
88,18
88,14
89,26
89,204
89,154
89,205
89,206
90,182
90,207
90,208
90,151
90,209
90,92
90,210
90,211
90,212
90,70
91,213
91,214
91,107
93,15
93,195
93,14
94,215
95,216
95,67
95,19
95,14
96,217
96,218
96,219
96,220
96,221
97,222
98,37
98,223
98,224
99,28
99,225
100,124
100,125
101,226
101,84
101,227
101,228
102,84
102,229
103,37
103,230
103,38
104,19
104,231
104,14
105,23
105,232
105,84
106,233
106,234
107,235
107,236
107,237
108,94
108,238
108,239
108,92
108,100
108,134
109,124
109,240
109,241
110,18
110,67
110,14
110,242
110,243
110,244
111,245
111,145
111,246
111,247
111,248
111,249
111,45
112,250
112,251
113,198
113,252
113,253
114,14
114,67
114,19
114,216
115,254
115,255
115,183
116,256
116,37
117,257
117,252
118,119
118,258
118,52
118,259
119,14
119,260
119,17
120,261
120,262
120,263
120,264
121,265
121,266
122,267
123,268
124,18
124,14
124,269
124,15
125,270
125,271
126,73
126,272
126,273
127,274
127,244
127,67
127,275
128,276
128,277
128,278
129,279
129,280
129,23
129,281
130,28
130,225
131,282
131,37
131,283
131,284
132,14
132,285
132,286
132,15
133,287
134,288
134,14
134,18
135,71
136,45
137,289
138,290
138,291
138,292
138,73
138,264
139,69
139,293
139,14
139,177
139,107
140,294
141,105
142,33
142,34
143,295
143,296
144,56
144,297
145,154
145,26
145,298
146,299
147,84
147,192
148,154
148,181
148,26
149,300
149,301
150,37
150,105
150,302
150,106
151,303
151,304
151,305
151,306
151,307
151,308
152,14
152,115
153,14
153,69
153,18
153,15
154,14
155,221
155,217
155,218
155,45
155,219
156,309
156,310
156,311
156,268
157,312
158,313
158,314
158,315
159,71
159,316
159,317
160,318
160,319
160,158
160,19
161,320
161,26
161,154
162,321
162,322
162,323
162,108
163,324
163,325
163,326
164,18
164,14
164,15
165,327
165,158
165,328
165,19
166,31
167,329
168,84
168,192
169,177
169,330
169,331
169,332
169,263
169,333
170,334
170,335
171,277
171,336
171,337
171,338
171,339
172,287
172,340
173,158
173,196
173,341
174,342
174,26
175,196
175,343
175,344
175,345
175,177
177,346
177,107
178,347
179,348
179,45
180,37
180,349
180,157
180,38
180,39
181,350
181,351
182,14
182,67
182,352
182,19
183,353
184,266
184,354
185,71
185,183
185,355
186,204
186,37
187,356
188,28
188,225
189,23
189,357
189,56
189,358
189,359
189,360
190,280
190,23
191,271
192,361
192,124
192,123
192,126
193,362
193,363
193,364
194,365
195,366
195,367
195,262
195,368
196,369
196,33
197,130
197,91
197,370
197,100
197,97
198,301
198,371
198,196
198,322
198,372
199,373
199,255
200,14
200,15
200,374
200,375
200,376
201,271
202,113
203,377
203,52
203,376
203,378
203,379
203,56
204,380
204,381
204,121
204,382
205,371
206,113
207,383
207,384
208,6
209,385
209,386
210,387
210,388
211,26
211,154
211,389
212,390
212,45
213,391
214,392
214,393
214,26
215,394
217,105
217,37
218,71
218,91
218,92
218,70
218,99
218,395
219,396
220,121
220,91
220,397
220,398
221,154
221,26
223,399
223,84
224,32
224,400
224,26
225,401
225,402
225,19
226,403
226,404
227,405
227,158
227,406
227,115
227,19
229,407
229,70
229,408
229,409
229,410
229,411
230,287
231,19
231,405
231,406
231,269
231,412
232,170
232,413
232,19
233,414
233,255
233,373
234,204
234,415
234,416
234,37
235,50
235,417
235,84
236,418
236,419
236,420
236,421
236,422
236,423
236,100
237,271
238,424
239,116
239,115
239,14
240,37
240,425
240,426
240,427
240,39
241,182
242,428
242,429
243,430
243,19
245,95
245,381
245,409
245,70
245,92
245,134
246,113
247,431
247,194
247,432
247,63
247,23
247,84
248,433
248,434
248,84
248,435
249,436
250,437
250,438
250,266
251,30
251,26
251,439
251,440
251,187
252,259
252,297
253,31
253,26
254,18
254,15
254,14
257,441
258,94
259,442
259,443
259,444
259,445
260,322
260,446
260,447
260,448
260,449
261,450
261,451
262,165
262,14
263,452
263,19
264,453
264,454
265,353
265,208
265,72
266,215
266,113
267,267
267,455
268,45
268,227
268,456
268,457
268,458
269,33
270,459
271,157
271,460
272,165
272,14
273,73
274,461
274,462
274,463
275,453
275,464
276,19
277,31
277,26
278,366
278,162
278,367
278,465
279,37
279,154
279,466
279,467
279,85
279,468
280,469
280,470
280,471
281,472
281,473
281,474
281,475
283,476
284,477
284,420
284,478
284,409
284,423
284,479
285,255
285,373
286,480
286,37
286,330
287,267
288,480
288,481
289,228
289,227
289,84
290,14
290,482
290,84
290,483
291,37
291,484
291,485
291,39
292,486
292,487
292,488
293,145
293,158
293,489
293,490
294,491
294,492
294,493
294,494
294,495
294,45
295,14
295,115
295,496
297,158
298,337
298,425
298,277
299,400
299,14
299,84
299,497
300,234
300,62
300,271
301,498
302,84
302,499
302,228
302,227
303,500
303,501
303,271
304,153
304,154
304,26
304,502
305,503
305,134
306,267
306,455
307,94
307,92
308,504
308,92
308,420
309,158
309,56
309,213
309,388
309,505
309,506
309,507
310,467
310,85
310,154
310,468
310,290
310,264
311,508
311,509
311,14
311,15
312,510
312,511
312,304
312,37
313,14
313,271
314,23
314,19
315,18
315,14
315,512
315,15
316,155
316,513
317,6
317,514
317,515
318,516
319,517
319,84
320,518
320,14
321,122
323,519
324,480
324,520
324,37
324,521
325,308
325,213
325,473
326,266
327,522
327,523
328,503
329,524
329,212
329,525
329,526
329,527
329,528
329,422
329,185
329,529
329,479
330,530
331,356
331,268
332,531
332,532
333,533
334,162
334,534
334,348
335,535
335,37
335,227
336,536
336,537
336,51
337,122
337,538
337,539
338,540
338,541
338,542
338,543
339,93
339,100
339,544
339,545
339,134
340,124
342,546
342,547
342,548
342,19
342,107
343,84
343,549
344,550
345,551
345,158
346,552
346,160
346,553
347,554
347,397
347,555
347,556
348,557
348,558
349,559
350,39
351,505
351,560
351,9
352,561
353,562
353,563
353,45
353,564
353,565
353,566
354,567
354,568
355,56
355,472
355,569
355,570
355,571
357,572
357,472
358,270
358,573
358,574
358,575
359,576
360,577
360,578
360,579
361,257
361,215
363,580
363,581
363,264
364,165
364,582
365,438
365,266
366,381
366,91
366,583
366,538
366,584
366,585
366,586
366,587
367,588
367,328
367,19
368,218
368,196
368,589
368,590
370,591
370,592
370,19
371,271
372,56
372,322
372,593
372,594
373,113
374,595
374,596
374,597
375,182
376,598
377,8
377,12
378,599
378,18
378,14
378,15
379,600
379,134
380,373
381,113
382,601
385,113
386,602
386,94
386,603
386,239
387,604
387,145
388,198
389,605
389,606
391,461
391,607
393,59
393,608
393,57
393,60
393,61
394,609
395,84
395,192
396,610
396,611
396,612
396,613
397,380
397,614
397,386
398,365
399,227
400,615
402,333
402,105
402,616
402,617
403,271
404,582
404,15
404,165
405,388
405,375
406,37
406,157
406,39
407,130
407,420
407,423
407,587
407,618
407,478
407,409
408,255
409,619
409,371
409,620
410,381
411,621
412,622
412,177
413,623
413,624
413,158
414,625
415,626
415,183
415,255
416,23
417,627
418,106
418,105
418,39
419,341
419,196
419,158
420,242
420,482
421,628
421,629
421,630
422,631
422,632
422,633
422,241
422,634
423,635
424,636
424,618
424,637
424,125
425,638
425,639
425,235
425,14
426,15
426,582
426,640
426,641
426,642
427,643
427,644
428,645
428,646
428,647
429,648
429,649
430,227
430,650
430,264
431,177
431,180
431,178
431,179
432,28
432,225
433,121
434,651
434,15
434,14
435,652
435,653
436,654
437,655
437,170
437,656
437,37
438,222
439,657
439,658
440,50
440,659
440,485
440,660
440,386
441,661
441,662
443,663
443,664
443,665
443,255
444,666
444,667
444,668
445,669
445,670
446,582
447,628
448,671
448,78
448,672
448,673
449,674
449,73
449,675
449,23
450,277
450,676
450,677
450,678
451,679
451,680
451,84
451,32
451,681
451,194
451,50
451,187
453,682
453,683
453,134
453,684
454,607
454,685
454,686
455,84
455,687
455,688
456,689
457,271
458,14
458,78
458,352
459,690
459,691
460,692
460,227
460,158
460,19
461,693
462,105
462,694
462,264
462,333
462,39
462,695
462,107
463,696
464,121
465,37
465,697
466,121
466,698
467,699
467,84
468,700
468,701
469,702
470,371
470,56
471,182
471,94
472,628
472,703
472,704
473,705
475,706
475,707
476,14
477,708
477,424
478,124
478,709
478,98
479,710
480,711
480,213
480,589
480,578
481,626
481,270
481,255
482,14
483,712
485,401
485,713
485,714
486,715
486,716
486,717
487,33
488,718
488,19
488,719
488,651
489,563
489,145
489,720
489,721
490,113
490,722
490,723
491,724
491,725
491,726
491,45
492,70
492,727
493,204
493,415
493,416
493,37
494,303
494,728
494,729
495,468
495,26
495,730
496,154
496,352
496,187
497,352
497,19
498,45
498,731
499,437
500,732
501,319
501,733
501,734
502,271
502,606
503,503
503,100
503,98
503,735
504,736
505,369
505,33
506,37
506,737
506,738
506,739
506,38
507,391
508,740
508,741
508,742
508,743
508,255
509,744
509,468
510,94
510,239
511,14
511,745
511,18
512,746
512,747
512,748
512,749
512,750
513,751
513,676
514,56
514,388
514,158
515,158
516,266
518,606
518,752
519,116
519,56
519,14
520,503
520,753
521,265
521,266
522,754
522,755
522,756
522,757
523,758
523,14
524,124
525,113
526,592
526,759
527,93
528,218
529,14
529,760
529,761
529,762
529,19
530,763
531,266
531,621
532,764
532,765
532,45
533,766
534,182
535,767
535,768
536,769
536,398
536,587
536,528
536,538
536,770
536,134
536,586
536,771
537,772
538,751
539,82
539,158
539,773
539,241
539,774
540,381
540,91
540,775
540,370
540,100
540,131
540,776
540,777
540,778
541,634
541,779
542,370
542,130
543,37
543,780
544,781
544,503
544,782
545,105
545,106
545,39
546,783
546,784
546,607
547,251
549,785
549,786
549,80
549,787
550,296
550,295
551,215
552,788
553,255
553,789
553,790
554,791
554,578
554,792
554,314
555,14
555,81
555,19
556,793
556,96
556,794
556,583
556,210
556,795
557,124
558,796
558,797
559,472
559,798
559,730
560,170
560,799
560,19
561,592
561,800
561,801
562,802
563,613
563,803
563,804
563,805
564,28
564,225
565,806
566,113
567,557
567,807
567,560
567,808
568,809
569,736
570,810
570,62
570,811
572,812
572,813
572,293
572,814
572,14
572,196
573,714
573,56
573,577
573,815
574,182
574,816
574,817
574,818
574,819
575,33
575,369
576,158
577,124
578,820
578,821
578,822
578,823
578,824
578,825
579,826
580,606
580,271
582,827
583,192
583,84
583,19
584,828
584,829
584,538
584,525
585,830
585,831
585,255
585,183
587,832
588,833
588,834
588,835
588,73
589,636
590,836
590,837
590,96
590,478
590,100
590,838
590,839
591,840
591,841
592,582
593,267
593,842
594,457
594,843
595,844
595,845
595,264
595,846
596,628
597,847
598,848
599,145
599,158
600,849
600,752
601,37
601,480
601,850
601,851
601,107
602,37
602,105
602,106
603,793
603,96
603,583
603,210
603,544
603,852
604,853
604,45
604,854
604,158
605,855
605,856
605,857
605,858
605,859
606,14
606,78
606,352
607,439
607,214
607,494
607,860
607,861
608,803
608,862
608,206
608,23
609,196
609,863
609,304
