creator_id,creator_name
1,David Benioff
2,D.B. Weiss
3,Álex Pina
4,Matt Duffer
5,Ross Duffer
6,Frank Darabont
7,Tom Kapinos
8,Roberto Aguirre-Sacasa
9,Hwang Dong-hyuk
10,Vince Gilligan
11,David Shore
12,Jac Schaeffer
13,Greg Berlanti
14,Geoff Johns
15,Andrew Kreisberg
16,Chuck Lorre
17,Bill Prady
18,Michael Waldron
19,Shonda Rhimes
20,Jon Favreau
21,Matt Groening
22,Sam Levinson
23,Steve Blackman
24,Steven Knight
25,Carlos Montero
26,Darío Madrona
27,Eric Kripke
28,Dan Harmon
29,Justin Roiland
30,Kevin Williamson
31,Julie Plec
32,Malcolm Spellman
33,Jason Rothenberg
34,Miles Millar
35,Alfred Gough
36,Marta Kauffman
37,David Crane
38,Laurie Nunn
39,Michael Hirst
40,Baran bo Odar
41,Jantje Friese
42,Jon Hurwitz
43,Hayden Schlossberg
44,Josh Heald
45,Marc Guggenheim
46,Craig Mazin
47,Ryan Murphy
48,Brad Falchuk
49,Lauren Schmidt Hissrich
50,Cris Morena
51,Jonathan Nolan
52,Lisa Joy
53,Nick Antosca
54,Michelle Dean
55,Mark Gatiss
56,Steven Moffat
57,Dave Erickson
58,Robert Kirkman
59,Paul Scheuring
60,Aaron Korsh
61,Moira Walley-Beckett
62,Charlie Brooker
63,Carter Bays
64,Craig Thomas
65,Peter Gould
66,Thomas Astruc
67,Leticia López Margalli
68,Sam Esmail
69,Akira Toriyama
70,Neil Druckmann
71,Drew Goddard
72,Ali Adler
73,Linwood Boomer
74,Seth MacFarlane
75,Brian Yorkey
76,Trey Parker
77,Matt Stone
78,Scott Frank
79,Allan Scott
80,Jeff Davis
81,David Kirschner
82,Don Mancini
83,Nick Santora
84,James Manos
85,Jr.
86,J.J. Abrams
87,Damon Lindelof
88,Jeffrey Lieber
89,Michael Dante DiMartino
90,Bryan Konietzko
91,Ricky Gervais
92,Stephen Merchant
93,Greg Daniels
94,George R. R. Martin
95,Ryan Condal
96,Dick Wolf
97,Bruno Heller
98,Brian K. Vaughan
99,Christian Linke
100,Alex Yee
101,Chun Sung-il
102,JQ Lee
103,Kim Nam-soo
104,Joss Whedon
105,Jed Whedon
106,Maurissa Tancharoen
107,James DeMonaco
108,Eric Wald
109,Nick Copus
110,Dean White
111,Fernando Gaitán
112,Ayse Uber Kutlu
113,Hart Hanson
114,Jonathan Igla
115,Michael Schur
116,Daniel J. Goor
117,Jim Kouf
118,Stephen Carpenter
119,David Greenwalt
120,Lee Aronsohn
121,Jon Bokenkamp
122,Tim Miller
123,Stephen King
124,Sera Gamble
125,Nic Pizzolatto
126,Jonathan Entwistle
127,Mauricio Ochmann
128,Mariano Calasso
129,Luis Zelkowicz
130,Stephen Hillenburg
131,Chris Carter
132,Gustavo Bolívar
133,Sydney Newman
134,Donald Wilson
135,C. E. Webber
136,Rob Thomas
137,Diane Ruggiero
138,Kurt Sutter
139,Kim Eun-sook
140,Lee Eung-bok
141,Alex Hirsch
142,Chris Brancato
143,Doug Miro
144,Carlo Bernard
145,Akiva Goldsman
146,Pendleton Ward
147,Bruce Miller
148,I. Marlene King
149,Beau Willimon
150,Ronald D. Moore
151,Jeremy Slater
152,Christopher Lloyd
153,Steven Levitan
154,James Gunn
155,Iván Escobar
156,Daniel Écija
157,Esther Martínez Lobato
158,Martin Gero
159,David Chase
160,Noah Hawley
161,John Wells
162,Paul Abbott
163,Adriana Pelusi
164,Carlos Quintanilla Sakar
165,Miguel García Moreno
166,Ian Brennan
167,Jenji Kohan
168,John D. Payne
169,Patrick McKay
170,Steve Lightfoot
171,Steven S. DeKnight
172,Matt Olmstead
173,Scott Buck
174,Alex Kurtzman
175,Roberto Orci
176,Phil Klemmer
177,Steven Molaro
178,Bruce C. McKenna
179,Bryan Fuller
180,Joe Penhall
181,Raphael Bob-Waksberg
182,Constance M. Burge
183,Melissa Rosenberg
184,Mark Fergus
185,Hawk Ostby
186,Andy Borowitz
187,Susan Borowitz
188,Todd Helbing
189,Donald P. Bellisario
190,Don McGill
191,Chris Van Dusen
192,Tim Kring
193,Michael Brandt
194,Derek Haas
195,Gideon Raff
196,Howard Gordon
197,Alex Gansa
198,Mark Williams
199,Bill Dubuque
200,Mike Flanagan
201,Edward Kitsis
202,Adam Horowitz
203,Kyle Killen
204,Steven Kane
205,Julio Jiménez
206,David Simon
207,Marisa Quiroga
208,Darren Star
209,Mike Barker
210,Matt Weitzman
211,Josh Schwartz
212,Stephanie Savage
213,Rumiko Takahashi
214,Yu Bo-ra
215,George Kay
216,Marie Roussin
217,Florent Meyer
218,François Uzan
219,Tigran Rosine
220,Jessica Gao
221,Rafe Judkins
222,Peter Morgan
223,J.G. Quintel
224,David Lynch
225,Mark Frost
226,John Linson
227,Taylor Sheridan
228,George Lucas
229,Zack Stentz
230,Dan Schneider
231,David S. Goyer
232,Neil Gaiman
233,Allan Heinberg
234,Daniel Chong
235,Roberto Gómez Bolaños
236,Brandon Sawyer
237,Ximena Suárez
238,Jerry Seinfeld
239,Larry David
240,Christy Hall
241,Yoshiki Watanabe
242,Yasuko Kuramitsu
243,Laeta Kalogridis
244,Christopher Markus
245,Stephen McFeely
246,Alan Ball
247,Ishibumi Ichiei
248,Andrew W. Marlowe
249,Guillermo del Toro
250,Carlton Cuse
251,Marc Cherry
252,Dante Di Loreto
253,Yoon Ji-ryun
254,Jeon Ki-sang
255,Reki Kawahara
256,Tomohiko Ito
257,Cheo Hodari Coker
258,Scott Fellows
259,Mindy Kaling
260,Lang Fisher
261,Bill Lawrence
262,Lauren Gussis
263,Moisés Zamora
264,John Gray
265,Michael Chabon
266,Kirsten Beyer
267,Peter M. Lenkov
268,Joe Kelly
269,Duncan Rouleau
270,Steven T. Seagle
271,Joe Casey
272,Stephen Butchard
273,Isaac Aptaker
274,Elizabeth Berger
275,Yoshihiro Togashi
276,Ernesto Contreras
277,Carlos Contreras
278,José Manuel Cravioto
279,Daniel Posada
280,Silvana Aguirre Zegarra
281,Robert Doherty
282,Anthony Zuiker
283,Ann Donahue
284,Carol Mendelsohn
285,Gustavo Loza
286,Anthony Cipriano
287,Kerry Ehrin
288,Michael Green
289,Yaongyi
290,Alexi Hawley
291,Peter Nowalk
292,Caroline Dries
293,Sam Raimi
294,Lilly Wachowski
295,Lana Wachowski
296,J. Michael Straczynski
297,Irwin Allen
298,Sarah Lampert
299,Bruce Timm
300,Eric Radomski
301,Peter Moffat
302,Andrés Salgado
303,Dana Terrace
304,Mike Judge
305,John Altschuler
306,Dave Krinsky
307,Michael Patrick King
308,Whitney Cummings
309,Ann Druyan
310,Steven Soter
311,Daniel Cerone
312,Brad Wright
313,Jonathan Glassner
314,Jorge Edelstein
315,Benjamin Cavell
316,Stacy McKee
317,Matt Nix
318,Javier Ambrossi
319,Javier Calvo
320,Aaron Guzikowski
321,Glen A. Larson
322,John R. Dilworth
323,Robert Cochran
324,Joel Surnow
325,Roberts Gannaway
326,Sam Baum
327,Jeff Rake
328,Dan Fogelman
329,Brian Young
330,Mark Bomback
331,David E. Kelley
332,Gene Roddenberry
333,Richard Price
334,Jason Sudeikis
335,Brendan Hunt
336,Genndy Tartakovsky
337,Bonnie Turner
338,Terry Turner
339,Mark Brazill
340,Ben Bocquelet
341,Douglas Petrie
342,Marco Ramirez
343,Daron Nefcy
344,Graham Roland
345,Jim Mickle
346,Elizabeth Meriwether
347,Patrick McHale
348,Aaron Rahsaan Thomas
349,Shawn Ryan
350,Jeremy Carver
351,Jeff Eastin
352,Eric Heisserer
353,Stacy Rukeyser
354,David Appelbaum
355,Caridad Bravo Adams
356,Fernando Sariñana
357,Carolina Rivera
358,Mitchell Hurwitz
359,Jonathan E. Steinberg
360,Robert Levine
361,Park Shin-woo
362,Jo Yong
363,Graham Linehan
364,Robert Tapert
365,John Schulian
366,John Logan
367,João Emanuel Carneiro
368,Amy Holden Jones
369,Hayley Schore
370,Roshan Sethi
371,Richard Curtis
372,Rowan Atkinson
373,Michael Tollin
374,José Ignacio Valenzuela
375,Courtney Kemp Agboh
376,Vladimir Cvetko
377,Phoebe Waller-Bridge
378,Dave Jeser
379,Matthew Silverstein
380,John Fawcett
381,Graeme Manson
382,Jannik Tai Mosholt
383,Christian Potalivo
384,Esben Toft Jacobsen
385,Steve Martin
386,John Robert Hoffman
387,Meredith Averill
388,Aron Eli Coleite
389,Brad Ingelsby
390,Simon Barry
391,Frank Spotnitz
392,John Milius
393,William J. MacDonald
394,Tom Hardy
395,Chips Hardy
396,Warren Ellis
397,Bryan Elsley
398,Jamie Brittain
399,Josh Friedman
400,Gustavo Bolívar Moreno
401,Adam Reed
402,Sam Register
403,Glen Murakami
404,Shane Brennan
405,Robert Rodat
406,Rebecca Sugar
407,Travis Beacham
408,René Echevarria
409,Eugenio Derbez
410,Jill E. Blotevogel
411,Jay Beattie
412,Dan Dworkin
413,Alice Oseman
414,Scott M. Gimple
415,Matthew Negrete
416,Dana Olsen
417,Alejandro Pohlenz
418,Marcia del Río
419,Pablo Ferrer García-Travesí
420,David Schickler
421,Jonathan Tropper
422,Matthew Weiner
423,Brit Marling
424,Zal Batmanglij
425,Joseph Barbera
426,William Hanna
427,Sidney Iwanter
428,Eric Lewald
429,Mark Edward Wright
430,Karol Sevilla
431,Seth Rogen
432,Evan Goldberg
433,Sam Catlin
434,Fran Drescher
435,Peter Marc Jacobson
436,Rafał Jaki
437,Ricardo Alvarez Canales
438,Tom Patchett
439,Paul Fusco
440,Héctor Lozano
441,Evan Romansky
442,Dwayne McDuffie
443,Greg Weisman
444,Brandon Vietti
445,Nell Scovell
446,Travis Fickett
447,Terry Matalas
448,Butch Hartman
449,Robia Rashid
450,Tim Minear
451,David O'Leary
452,David Attenborough
453,Vanessa Berlowitz
454,Gary Parker
455,Jennifer Flackett
456,Mark Levin
457,Nick Kroll
458,Andrew Goldberg
459,Lars Beckung
460,Lisa Ambjörn
461,Camilla Holter
462,Jeff Franklin
463,Dean Lorey
464,Patrick Schumacker
465,Justin Halpern
466,Vivian de Oliveira
467,Rob McElhenney
468,Clyde Phillips
469,Bisha K. Ali
470,Mark Verheiden
471,Gary Dauberman
472,John Semper Jr.
473,Len Wiseman
474,Phillip Iscove
475,Yusuf Pirhasan
476,Pınar Bulut
477,Onur Koralp
478,Derek Simonds
479,Adam Price
480,Emilie Lebech Kaae
481,Terence Winter
482,Tony Cervone
483,Spike Brandt
484,Mitch Watson
485,Neil Cross
486,Ed Decter
487,Robert C. Cooper
488,Tony McNamara
489,Andy Breckman
490,Michael Jacobs
491,Bob Young
492,David Schulner
493,Michael G. Moye
494,Ron Leavitt
495,Maxwell Atoms
496,Carol Black
497,Neal Marlens
498,Chris Rock
499,Ali LeRoi
500,Scott Alexander
501,Larry Karaszewski
502,Tom Rob Smith
503,Sarah Burgess
504,Steven Zaillian
505,Greg Garcia
506,Stephen J. Cannell
507,Frank Lupo
508,Tobin Wolf
509,Manolo Caro
510,Leo Birenberg
511,Owen Elliott
512,David Farr
513,Kim Eun-hee
514,Frank Miller
515,Tom Wheeler
516,Tom Perrotta
517,Julian Fellowes
518,Hank Steinberg
519,Kenneth Johnson
520,Laura Belloso
521,Asier Anduenza
522,Amy Sherman-Palladino
523,Ryan Seacrest
524,Eliot Goldberg
525,Tony Gilroy
526,Alena Smith
527,Yolanda Vargas Dulché
528,Leonardo Padrón
529,Jesse Armstrong
530,Dan Erickson
531,David Guggenheim
532,Sallie Patrick
533,Julian Jones
534,Jake Michie
535,Johnny Capps
536,Julian Murphy
537,Ed Friendly
538,Laura Ingalls Wilder
539,Craig McCracken
540,Song Jae-jung
541,Dave Filoni
542,Jim Dauterive
543,Loren Bouchard
544,Craig Bartlett
545,Simon Kinberg
546,David Weil
547,Salim Akil
548,Howard Overman
549,Neil LaBute
550,Michael Piller
551,Rick Berman
552,Jeri Taylor
553,Ryu Yong-jae
554,Lee Sang-yeop
555,Scott B. Smith
556,SOUR Bangkok
557,Nobutaka Nishizawa
558,Takehiko Inoue
559,Jorge Ortiz de Pinedo
560,Pedro Ortiz de Pinedo
