number_of_seasons,number_of_episodes,episode_run_time,in_production,show_attributes_id
3,21,24,True,317
4,85,24,False,318
1,114,24,False,319
3,25,40,False,320
6,63,60,False,321
4,84,48,False,322
2,12,26,False,323
3,79,50,False,324
3,36,30,False,325
1,13,25,False,326
3,20,45,False,327
4,30,0,True,328
3,28,47,False,329
4,32,43,False,330
1,7,59,False,331
2,18,42,False,332
4,40,60,False,333
2,22,60,False,334
3,8,60,True,335
4,32,24,False,336
7,61,44,False,337
3,226,0,False,338
1,95,45,False,339
14,139,22,True,340
5,65,23,False,341
2,10,52,True,342
1,13,24,False,343
14,323,45,False,344
5,52,60,False,345
1,169,45,False,346
15,335,45,False,347
5,154,11,False,348
2,18,0,False,349
15,264,21,True,350
3,29,43,False,351
1,24,23,False,352
3,17,30,True,353
2,24,23,True,354
5,121,22,False,355
1,177,45,False,356
1,50,24,True,357
4,38,50,False,358
7,92,47,False,359
3,80,30,False,360
2,16,60,False,361
1,69,45,False,362
1,48,30,False,363
5,76,22,False,364
3,220,45,False,365
1,35,50,False,366
4,43,60,False,367
8,163,42,True,368
6,145,24,False,369
1,10,25,False,370
2,92,40,True,371
3,25,0,True,372
4,101,23,False,373
3,40,40,False,374
3,46,23,False,375
4,98,22,False,376
2,20,0,True,377
3,36,42,True,378
3,37,24,False,379
4,65,23,False,380
3,52,24,False,381
2,23,23,False,382
1,20,60,False,383
7,84,28,False,384
7,163,22,False,385
4,47,43,False,386
3,49,22,False,387
4,38,33,False,388
11,146,45,True,389
4,60,43,True,390
1,9,54,False,391
2,20,44,False,392
1,11,60,False,393
7,71,27,True,394
3,18,45,True,395
2,47,24,False,396
8,192,25,False,397
4,47,23,True,398
4,103,21,False,399
2,25,24,False,400
2,265,60,False,401
16,169,22,True,402
1,10,51,False,403
1,12,25,False,404
5,65,22,False,405
3,50,28,False,406
4,62,45,False,407
2,64,50,False,408
1,13,30,False,409
4,32,45,False,410
3,18,0,False,411
1,60,60,False,412
3,55,24,False,413
5,56,60,False,414
1,12,30,False,415
2,52,22,False,416
5,20,60,False,417
3,55,42,False,418
5,100,45,False,419
3,30,56,False,420
8,125,42,False,421
1,5,120,False,422
5,89,43,False,423
11,258,22,False,424
7,184,11,False,425
5,91,43,False,426
6,115,24,False,427
4,88,22,False,428
1,12,20,False,429
3,29,0,True,430
1,22,23,False,431
4,96,21,False,432
8,328,25,False,433
5,98,45,False,434
4,130,22,False,435
3,33,30,False,436
2,26,23,True,437
3,126,24,False,438
2,6,59,True,439
2,12,51,False,440
1,262,60,False,441
3,28,60,False,442
6,47,66,False,443
5,200,24,False,444
1,3,0,False,445
5,56,41,False,446
10,268,12,False,447
1,2,105,False,448
3,22,50,False,449
7,153,44,False,450
20,282,42,False,451
2,20,45,False,452
1,12,0,True,453
5,94,42,False,454
3,30,30,False,455
1,26,50,False,456
4,39,65,False,457
1,224,24,False,458
5,110,41,False,459
3,53,42,False,460
3,33,50,False,461
5,108,43,False,462
5,63,50,False,463
1,16,60,False,464
5,65,43,False,465
6,136,12,False,466
1,36,25,False,467
2,32,0,True,468
14,269,23,True,469
5,186,12,False,470
4,58,45,False,471
3,24,47,False,472
5,65,42,False,473
1,8,50,True,474
7,171,45,False,475
1,12,57,False,476
2,16,50,False,477
6,166,25,False,478
1,8,0,False,479
1,16,72,False,480
2,21,0,False,481
2,31,44,False,482
1,101,23,False,483
10,148,30,True,484
5,156,30,False,485
2,37,25,False,486
6,75,48,False,487
5,100,40,False,488
1,6,30,False,489
1,20,81,False,490
7,93,25,False,491
2,6,52,True,492
4,52,24,False,493
7,84,60,True,494
2,48,24,True,495
4,139,90,False,496
2,20,50,False,497
3,25,52,False,498
1,8,201,False,499
1,51,24,False,500
4,67,22,False,501
1,4,26,False,502
3,19,45,True,503
4,38,0,False,504
5,37,45,False,505
2,52,23,False,506
4,42,45,False,507
8,102,25,False,508
1,114,40,False,509
5,68,44,False,510
3,33,25,True,511
3,36,22,False,512
4,78,42,False,513
2,104,22,False,514
4,59,22,False,515
1,22,45,False,516
13,275,45,True,517
1,21,60,False,518
5,95,30,False,519
3,18,50,False,520
1,149,22,False,521
4,49,44,False,522
5,128,24,False,523
3,30,15,False,524
15,331,45,False,525
4,69,0,False,526
7,139,45,False,527
6,158,26,False,528
3,17,57,False,529
4,221,7,False,530
4,30,49,True,531
6,71,50,False,532
5,100,43,True,533
3,76,24,False,534
3,69,120,False,535
1,6,60,False,536
2,20,52,True,537
1,11,23,False,538
2,36,23,True,539
3,24,0,False,540
3,39,23,False,541
5,223,23,True,542
2,12,30,False,543
5,47,30,False,544
5,139,25,False,545
6,102,43,False,546
6,121,43,False,547
3,36,55,False,548
1,4,75,False,549
4,92,42,False,550
2,26,22,False,551
4,106,23,False,552
3,18,30,True,553
5,50,52,False,554
7,45,24,True,555
3,94,25,False,556
5,52,24,False,557
4,89,43,False,558
4,97,44,False,559
4,43,15,False,560
7,82,100,False,561
8,120,43,False,562
3,26,0,True,563
1,8,60,True,564
2,16,51,True,565
30,973,22,False,566
1,2,93,False,567
11,264,24,False,568
3,31,22,False,569
3,18,30,False,570
5,86,24,False,571
1,5,20,False,572
1,7,64,False,573
1,183,45,False,574
16,210,22,False,575
2,15,30,True,576
10,444,12,True,577
6,126,11,False,578
3,37,24,True,579
5,60,22,False,580
1,20,11,False,581
1,190,60,False,582
4,44,45,False,583
2,74,120,False,584
1,10,40,False,585
3,71,23,False,586
1,8,31,False,587
10,284,45,False,588
33,219,60,True,589
7,273,22,False,590
3,41,22,False,591
1,18,28,False,592
1,32,35,False,593
6,139,11,False,594
4,95,21,False,595
5,43,0,False,596
3,55,43,False,597
10,193,22,False,598
4,39,18,True,599
2,26,43,False,600
5,275,0,False,601
2,42,8,True,602
1,12,12,False,603
2,50,25,False,604
4,92,25,True,605
1,18,60,False,606
8,254,25,False,607
2,85,45,False,608
7,88,45,False,609
11,110,30,True,610
6,56,60,False,611
2,120,45,False,612
2,22,42,False,613
3,34,45,False,614
4,38,30,False,615
3,32,43,False,616
2,200,45,False,617
1,1100,25,True,618
1,10,55,False,619
5,97,48,False,620
1,8,43,False,621
9,322,11,False,622
9,197,44,False,623
1,3,90,False,624
5,44,60,True,625
4,98,23,False,626
4,38,55,False,627
2,25,24,True,628
2,40,45,False,629
3,39,25,False,630
1,24,20,False,631
6,78,0,False,632
4,99,23,False,633
5,126,22,False,634
2,33,22,True,635
1,6,52,False,636
1,20,65,False,637
1,227,0,False,638
4,41,0,False,639
2,16,0,True,640
1,6,48,False,641
4,86,23,False,642
3,87,23,False,643
3,57,43,False,644
7,138,22,False,645
1,16,70,False,646
2,13,60,True,647
10,281,30,True,648
4,44,42,False,649
3,31,42,False,650
2,31,30,False,651
1,67,24,False,652
4,101,0,False,653
9,215,22,False,654
5,124,22,False,655
10,67,75,False,656
1,4,0,False,657
1,12,23,False,658
3,42,22,False,659
2,54,24,True,660
3,68,0,False,661
8,169,22,False,662
2,26,45,True,663
5,64,60,False,664
2,18,0,True,665
27,1835,11,False,666
1,26,24,False,667
11,251,25,False,668
1,160,30,False,669
1,300,40,False,670
9,221,22,False,671
1,115,25,False,672
5,105,60,False,673
2,19,57,True,674
2,17,30,False,675
1,20,59,False,676
8,386,11,True,677
3,30,0,True,678
3,30,46,True,679
5,77,44,False,680
4,49,25,False,681
1,9,30,False,682
1,16,85,False,683
1,17,43,False,684
4,45,30,False,685
4,40,15,True,686
1,3,60,False,687
9,207,25,False,688
8,204,22,False,689
1,185,45,False,690
4,72,42,False,691
2,21,70,False,692
1,4,54,False,693
17,253,45,True,694
5,65,21,False,695
7,91,24,False,696
2,48,25,True,697
1,10,49,False,698
6,113,22,False,699
4,98,30,False,700
2,107,45,False,701
5,50,0,True,702
2,117,8,False,703
3,27,24,True,704
3,36,43,False,705
5,395,43,False,706
1,13,41,False,707
7,71,80,False,708
4,181,7,False,709
2,16,55,False,710
1,146,0,False,711
3,78,24,False,712
5,45,26,True,713
3,24,46,False,714
13,255,22,False,715
8,170,23,False,716
1,25,23,False,717
2,171,0,False,718
3,25,60,False,719
26,694,25,False,720
3,123,12,False,721
4,74,22,False,722
1,49,45,False,723
1,12,22,False,724
4,50,42,False,725
1,90,60,False,726
3,75,24,False,727
11,273,24,False,728
11,194,4,False,729
2,18,48,False,730
4,108,23,False,731
9,210,30,False,732
1,12,24,True,733
2,65,26,False,734
1,250,43,False,735
5,75,30,False,736
1,5,10,False,737
1,8,52,False,738
2,62,12,True,739
1,22,44,False,740
2,6,50,True,741
3,25,43,False,742
3,15,45,True,743
4,37,43,True,744
1,16,47,False,745
2,18,60,False,746
1,16,65,False,747
7,124,43,False,748
3,38,24,False,749
1,3,14,False,750
16,272,43,False,751
2,17,60,True,752
3,120,25,False,753
2,10,0,True,754
1,102,50,False,755
3,30,56,True,756
7,130,45,False,757
1,7,48,True,758
1,107,0,False,759
8,96,24,False,760
7,68,45,False,761
2,42,42,False,762
3,30,55,True,763
3,24,26,False,764
4,51,30,False,765
2,16,0,False,766
2,16,45,False,767
6,128,44,False,768
5,83,45,False,769
22,488,42,True,770
2,18,28,False,771
1,172,45,False,772
3,48,24,True,773
1,10,42,False,774
1,6,55,False,775
1,13,43,False,776
6,95,28,True,777
9,202,45,False,778
6,111,44,False,779
29,3830,30,True,780
2,12,50,False,781
3,98,30,False,782
2,21,44,True,783
7,158,24,False,784
5,90,60,False,785
1,9,11,False,786
3,33,60,False,787
5,54,45,True,788
1,7,80,False,789
5,110,45,False,790
1,96,0,False,791
3,73,23,False,792
3,65,22,False,793
1,16,78,False,794
3,26,42,False,795
4,41,45,False,796
2,55,22,False,797
7,317,11,True,798
2,12,37,False,799
1,162,42,False,800
3,30,45,False,801
3,45,43,False,802
1,13,23,False,803
9,422,11,False,804
1,3,62,False,805
4,39,30,False,806
1,194,60,False,807
1,8,55,False,808
5,42,50,False,809
1,26,11,False,810
2,180,60,False,811
3,18,25,False,812
5,61,30,False,813
4,212,7,False,814
11,218,12,True,815
1,4,45,False,816
3,38,43,False,817
1,4,97,False,818
6,127,11,False,819
1,8,30,True,820
7,111,45,False,821
1,50,25,False,822
2,82,56,False,823
1,182,42,False,824
6,139,30,False,825
1,6,44,False,826
1,74,24,False,827
2,24,23,False,828
2,13,0,True,829
1,157,60,False,830
4,86,22,False,831
1,22,42,False,832
6,79,30,False,833
4,58,25,False,834
8,194,22,False,835
3,60,50,False,836
5,91,45,True,837
4,104,6,False,838
2,39,24,True,839
2,16,39,False,840
1,12,67,False,841
5,83,50,False,842
2,29,60,False,843
3,34,30,False,844
4,33,45,False,845
4,38,25,True,846
7,100,44,False,847
2,30,75,False,848
1,160,45,False,849
5,78,45,False,850
3,52,0,False,851
7,134,23,False,852
7,154,45,False,853
3,24,40,False,854
1,27,24,False,855
4,46,24,True,856
5,58,0,False,857
4,40,43,False,858
11,242,42,False,859
1,6,40,False,860
1,2,92,False,861
3,54,30,False,862
6,79,22,False,863
2,20,49,False,864
1,4,90,False,865
4,52,45,False,866
1,3,23,False,867
4,42,43,False,868
8,208,23,False,869
1,16,64,False,870
4,112,23,False,871
3,61,60,False,872
5,123,23,False,873
2,13,80,True,874
13,70,50,False,875
6,75,50,False,876
3,81,120,False,877
5,62,42,False,878
9,187,42,False,879
4,24,32,False,880
3,29,50,False,881
2,113,45,False,882
5,118,7,True,883
6,149,47,False,884
2,17,50,False,885
5,91,11,False,886
3,75,30,False,887
1,120,0,False,888
1,44,45,False,889
2,25,44,False,890
4,70,42,False,891
2,13,25,True,892
1,170,45,False,893
5,87,43,False,894
7,155,45,False,895
8,80,22,False,896
2,44,24,False,897
4,72,45,False,898
1,10,36,False,899
2,33,45,False,900
1,139,45,False,901
4,80,48,False,902
2,42,43,False,903
5,49,40,True,904
1,6,43,False,905
7,105,43,False,906
2,15,17,True,907
1,10,45,False,908
5,50,30,False,909
2,70,25,False,910
5,50,38,True,911
14,431,49,False,912
2,14,24,False,913
4,87,46,False,914
5,57,60,False,915
4,32,48,False,916
2,50,24,False,917
2,26,45,False,918
2,13,43,False,919
2,12,40,False,920
1,5,55,False,921
1,27,45,False,922
2,16,45,True,923
4,71,30,False,924
